geomtype|pass_size|abc|group|g|maxdegbf|lambdas|plabel|num_orbits|deg|BelyiDB_plabel|a_s|b_s|c_s|triples|aut_group
text|smallint|smallint[]|text|smallint|smallint|jsonb|text|smallint|smallint|text|smallint|smallint|smallint|jsonb|jsonb

H|3|[7,10,2]|7T7|1|3|[[7],[5,2],[2,2,2,1]]|7T7-7_5.2_2.2.2.1|1|7|7T7-[7,10,2]-7-52-2221-g1|2|7|10|[[[2,3,4,5,6,7,1],[5,3,2,1,6,7,4],[6,4,3,2,7,1,5]],[[2,3,4,5,6,7,1],[4,3,6,1,7,5,2],[5,4,7,2,1,6,3]],[[2,3,4,5,6,7,1],[4,1,6,5,7,3,2],[5,2,7,6,1,4,3]]]|[[1,2,3,4,5,6,7]]
H|14|[7,10,6]|7T7|1|14|[[7],[5,2],[3,2,1,1]]|7T7-7_5.2_3.2.1.1|1|7|7T7-[7,10,6]-7-52-3211-g1|6|7|10|[[[2,3,4,5,6,7,1],[3,1,4,5,2,7,6],[6,2,5,1,3,4,7]],[[2,3,4,5,6,7,1],[5,1,4,3,6,7,2],[6,2,7,4,3,1,5]],[[2,3,4,5,6,7,1],[3,1,6,5,4,7,2],[6,2,7,1,5,4,3]],[[2,3,4,5,6,7,1],[3,1,4,7,6,5,2],[4,2,7,1,3,6,5]],[[2,3,4,5,6,7,1],[4,1,5,7,3,2,6],[4,2,6,5,1,3,7]],[[2,3,4,5,6,7,1],[6,1,7,5,4,3,2],[3,2,7,6,5,4,1]],[[2,3,4,5,6,7,1],[3,1,7,2,6,5,4],[3,2,4,1,7,6,5]],[[2,3,4,5,6,7,1],[5,3,1,2,4,7,6],[6,3,4,2,5,1,7]],[[2,3,4,5,6,7,1],[4,6,2,3,7,1,5],[5,6,3,4,1,7,2]],[[2,3,4,5,6,7,1],[7,3,1,2,6,5,4],[1,3,4,2,7,6,5]],[[2,3,4,5,6,7,1],[4,1,2,6,7,3,5],[5,2,3,6,1,7,4]],[[2,3,4,5,6,7,1],[7,6,5,3,1,2,4],[1,5,6,4,7,3,2]],[[2,3,4,5,6,7,1],[7,6,5,1,4,2,3],[1,4,6,7,5,3,2]],[[2,3,4,5,6,7,1],[5,1,2,7,6,3,4],[4,2,3,6,7,1,5]]]|[[1,2,3,4,5,6,7]]
H|9|[7,12,12]|7T7|2|4|[[7],[4,3],[4,3]]|7T7-7_4.3_4.3|4|7|7T7-[7,12,12]-7-43-43-g2|7|12|12|[[[2,3,4,5,6,7,1],[3,6,4,5,1,7,2],[6,5,7,1,3,4,2]],[[2,3,4,5,6,7,1],[4,6,1,5,3,7,2],[6,3,7,5,1,4,2]],[[2,3,4,5,6,7,1],[4,3,7,5,6,1,2],[3,6,7,2,1,4,5]],[[2,3,4,5,6,7,1],[6,3,4,2,1,7,5],[6,5,4,2,3,7,1]],[[2,3,4,5,6,7,1],[5,6,1,7,3,4,2],[4,3,7,5,6,1,2]],[[2,3,4,5,6,7,1],[4,7,5,2,6,3,1],[2,7,4,6,1,3,5]],[[2,3,4,5,6,7,1],[4,3,7,6,2,1,5],[3,6,5,2,1,7,4]],[[2,3,4,5,6,7,1],[4,5,1,7,6,2,3],[4,3,6,7,1,2,5]],[[2,3,4,5,6,7,1],[4,6,7,2,3,1,5],[3,6,4,5,1,7,2]]]|[[1,2,3,4,5,6,7]]
H|1|[7,12,2]|7T7|0|1|[[7],[4,3],[2,1,1,1,1,1]]|7T7-7_4.3_2.1.1.1.1.1|1|7|7T7-[7,12,2]-7-43-211111-g0|2|7|12|[[[2,3,4,5,6,7,1],[7,1,5,3,4,2,6],[1,2,6,4,5,3,7]]]|[[1,2,3,4,5,6,7]]
H|2|[7,12,2]|7T7|1|2|[[7],[4,3],[2,2,2,1]]|7T7-7_4.3_2.2.2.1|1|7|7T7-[7,12,2]-7-43-2221-g1|2|7|12|[[[2,3,4,5,6,7,1],[5,3,6,1,4,7,2],[6,4,7,2,5,1,3]],[[2,3,4,5,6,7,1],[4,1,5,6,7,2,3],[5,2,6,7,1,3,4]]]|[[1,2,3,4,5,6,7]]
H|11|[7,12,6]|7T7|1|11|[[7],[4,3],[3,2,1,1]]|7T7-7_4.3_3.2.1.1|1|7|7T7-[7,12,6]-7-43-3211-g1|6|7|12|[[[2,3,4,5,6,7,1],[7,1,4,5,6,3,2],[1,2,7,6,3,4,5]],[[2,3,4,5,6,7,1],[4,6,1,3,7,5,2],[5,3,7,4,1,6,2]],[[2,3,4,5,6,7,1],[5,1,6,3,7,4,2],[5,2,7,4,6,1,3]],[[2,3,4,5,6,7,1],[7,1,4,6,2,3,5],[1,2,5,6,3,7,4]],[[2,3,4,5,6,7,1],[4,1,6,7,3,5,2],[4,2,7,5,1,6,3]],[[2,3,4,5,6,7,1],[3,1,6,7,4,2,5],[4,2,6,1,5,7,3]],[[2,3,4,5,6,7,1],[5,3,7,1,4,2,6],[3,4,6,2,5,1,7]],[[2,3,4,5,6,7,1],[7,1,5,2,6,3,4],[1,2,4,6,7,3,5]],[[2,3,4,5,6,7,1],[4,3,1,2,7,5,6],[5,3,4,2,1,6,7]],[[2,3,4,5,6,7,1],[4,6,7,3,2,5,1],[3,7,5,4,1,6,2]],[[2,3,4,5,6,7,1],[7,5,1,3,6,2,4],[1,3,6,4,7,2,5]]]|[[1,2,3,4,5,6,7]]
H|1|[7,2,4]|7T7|0|1|[[7],[2,2,2,1],[4,1,1,1]]|7T7-7_2.2.2.1_4.1.1.1|1|7|7T7-[7,2,4]-7-2221-4111-g0|2|4|7|[[[4,7,6,5,3,2,1],[1,7,6,5,4,3,2],[2,3,4,1,5,6,7]]]|[[1,2,3,4,5,6,7]]
H|1|[7,2,6]|7T7|0|1|[[7],[2,1,1,1,1,1],[6,1]]|7T7-7_2.1.1.1.1.1_6.1|1|7|7T7-[7,2,6]-7-211111-61-g0|2|6|7|[[[6,1,2,7,4,5,3],[1,2,3,7,5,6,4],[2,3,4,5,6,1,7]]]|[[1,2,3,4,5,6,7]]
H|3|[7,2,6]|7T7|0|3|[[7],[2,2,2,1],[3,2,1,1]]|7T7-7_2.2.2.1_3.2.1.1|1|7|7T7-[7,2,6]-7-2221-3211-g0|2|6|7|[[[3,7,4,6,2,5,1],[1,7,5,6,3,4,2],[2,3,1,5,4,6,7]],[[7,6,4,5,2,1,3],[7,6,5,4,3,2,1],[2,3,1,5,4,6,7]],[[3,4,7,6,1,5,2],[1,5,7,6,2,4,3],[2,3,1,5,4,6,7]]]|[[1,2,3,4,5,6,7]]
H|5|[7,2,6]|7T7|1|5|[[7],[2,2,2,1],[6,1]]|7T7-7_2.2.2.1_6.1|1|7|7T7-[7,2,6]-7-2221-61-g1|2|6|7|[[[3,7,4,6,2,5,1],[4,7,5,1,3,6,2],[2,3,4,5,6,1,7]],[[3,7,5,6,4,2,1],[4,7,6,1,5,3,2],[2,3,4,5,6,1,7]],[[4,7,5,3,6,2,1],[5,7,6,4,1,3,2],[2,3,4,5,6,1,7]],[[6,7,4,5,2,3,1],[1,7,5,6,3,4,2],[2,3,4,5,6,1,7]],[[2,3,6,1,7,5,4],[3,4,1,2,7,6,5],[2,3,4,5,6,1,7]]]|[[1,2,3,4,5,6,7]]
H|8|[7,4,10]|7T7|1|6|[[7],[4,1,1,1],[5,2]]|7T7-7_4.1.1.1_5.2|2|7|7T7-[7,4,10]-7-4111-52-g1|4|7|10|[[[5,7,1,2,4,3,6],[2,3,4,1,5,6,7],[2,3,6,5,4,7,1]],[[5,6,7,2,4,3,1],[2,3,4,1,5,6,7],[7,3,6,5,4,1,2]],[[2,7,1,5,3,4,6],[2,3,4,1,5,6,7],[2,4,5,6,3,7,1]],[[2,3,7,1,4,5,6],[2,3,4,1,5,6,7],[3,4,1,5,6,7,2]],[[3,6,7,1,4,5,2],[2,3,4,1,5,6,7],[3,7,4,5,6,1,2]],[[5,3,7,1,2,4,6],[2,3,4,1,5,6,7],[3,5,1,6,4,7,2]],[[5,7,6,2,3,4,1],[2,3,4,1,5,6,7],[7,3,5,6,4,2,1]],[[5,6,7,1,3,4,2],[2,3,4,1,5,6,7],[3,7,5,6,4,1,2]]]|[[1,2,3,4,5,6,7]]
H|7|[7,4,12]|7T7|1|7|[[7],[4,1,1,1],[4,3]]|7T7-7_4.1.1.1_4.3|1|7|7T7-[7,4,12]-7-4111-43-g1|4|7|12|[[[6,7,1,2,4,5,3],[2,3,4,1,5,6,7],[2,3,7,5,6,4,1]],[[6,3,7,2,4,5,1],[2,3,4,1,5,6,7],[7,3,1,5,6,4,2]],[[3,7,4,2,1,5,6],[2,3,4,1,5,6,7],[5,3,4,2,6,7,1]],[[2,7,6,1,4,5,3],[2,3,4,1,5,6,7],[3,4,7,5,6,2,1]],[[5,7,4,2,3,1,6],[2,3,4,1,5,6,7],[6,3,5,2,4,7,1]],[[2,6,5,7,4,3,1],[2,3,4,1,5,6,7],[7,4,6,5,2,1,3]],[[5,6,4,1,7,3,2],[2,3,4,1,5,6,7],[3,7,6,2,4,1,5]]]|[[1,2,3,4,5,6,7]]
H|1|[7,4,4]|7T7|0|1|[[7],[4,1,1,1],[4,1,1,1]]|7T7-7_4.1.1.1_4.1.1.1|1|7|7T7-[7,4,4]-7-4111-4111-g0|4|4|7|[[[4,7,2,3,1,5,6],[2,3,4,1,5,6,7],[5,2,3,4,6,7,1]]]|[[1,2,3,4,5,6,7]]
H|3|[7,6,4]|7T7|0|3|[[7],[3,2,1,1],[4,1,1,1]]|7T7-7_3.2.1.1_4.1.1.1|1|7|7T7-[7,6,4]-7-3211-4111-g0|4|6|7|[[[7,5,2,3,6,1,4],[7,6,3,4,2,5,1],[2,3,4,1,5,6,7]],[[5,1,2,6,4,7,3],[5,2,3,7,1,4,6],[2,3,4,1,5,6,7]],[[7,1,5,3,6,2,4],[7,2,6,4,3,5,1],[2,3,4,1,5,6,7]]]|[[1,2,3,4,5,6,7]]
H|10|[7,6,4]|7T7|1|10|[[7],[6,1],[4,1,1,1]]|7T7-7_6.1_4.1.1.1|1|7|7T7-[7,6,4]-7-61-4111-g1|4|6|7|[[[3,1,4,5,6,7,2],[3,2,7,1,4,5,6],[2,3,4,1,5,6,7]],[[2,4,5,3,6,7,1],[2,7,1,4,3,5,6],[2,3,4,1,5,6,7]],[[3,1,5,6,4,7,2],[5,2,7,1,3,4,6],[2,3,4,1,5,6,7]],[[3,4,2,5,6,7,1],[2,7,3,1,4,5,6],[2,3,4,1,5,6,7]],[[7,4,5,3,6,1,2],[2,6,7,4,3,5,1],[2,3,4,1,5,6,7]],[[3,5,2,6,4,7,1],[5,7,3,1,2,4,6],[2,3,4,1,5,6,7]],[[7,4,2,5,6,1,3],[2,6,3,7,4,5,1],[2,3,4,1,5,6,7]],[[7,1,4,5,6,2,3],[3,2,6,7,4,5,1],[2,3,4,1,5,6,7]],[[7,5,6,3,4,1,2],[5,6,7,4,2,3,1],[2,3,4,1,5,6,7]],[[2,7,5,3,6,1,4],[7,6,1,4,3,5,2],[2,3,4,1,5,6,7]]]|[[1,2,3,4,5,6,7]]
H|9|[7,6,6]|7T7|0|6|[[7],[3,2,1,1],[3,2,1,1]]|7T7-7_3.2.1.1_3.2.1.1|2|7|7T7-[7,6,6]-7-3211-3211-g0|6|6|7|[[[3,6,7,1,4,5,2],[2,3,1,5,4,6,7],[5,7,3,4,6,1,2]],[[3,5,7,6,4,1,2],[2,3,1,5,4,6,7],[6,7,3,4,1,5,2]],[[3,7,6,2,4,5,1],[2,3,1,5,4,6,7],[7,5,3,4,6,2,1]],[[6,1,2,7,3,4,5],[2,3,1,5,4,6,7],[1,2,4,6,7,3,5]],[[3,7,5,6,4,2,1],[2,3,1,5,4,6,7],[7,6,3,4,2,5,1]],[[4,1,2,7,6,3,5],[2,3,1,5,4,6,7],[1,2,6,3,7,4,5]],[[3,7,4,5,2,1,6],[2,3,1,5,4,6,7],[6,4,3,2,5,7,1]],[[3,4,7,5,1,2,6],[2,3,1,5,4,6,7],[4,6,3,1,5,7,2]],[[3,4,2,7,1,5,6],[2,3,1,5,4,6,7],[4,2,3,1,6,7,5]]]|[[1,2,3,4,5,6,7]]
H|20|[7,6,6]|7T7|1|20|[[7],[3,2,1,1],[6,1]]|7T7-7_3.2.1.1_6.1|1|7|7T7-[7,6,6]-7-3211-61-g1|6|6|7|[[[3,1,4,6,7,5,2],[4,2,7,1,3,6,5],[2,3,4,5,6,1,7]],[[3,1,5,6,4,7,2],[4,2,7,1,5,3,6],[2,3,4,5,6,1,7]],[[2,4,6,3,7,5,1],[3,7,1,4,2,6,5],[2,3,4,5,6,1,7]],[[4,1,5,3,6,7,2],[5,2,7,4,1,3,6],[2,3,4,5,6,1,7]],[[3,4,2,6,7,5,1],[4,7,3,1,2,6,5],[2,3,4,5,6,1,7]],[[3,5,2,6,4,7,1],[4,7,3,1,5,2,6],[2,3,4,5,6,1,7]],[[4,1,2,5,6,7,3],[5,2,3,7,1,4,6],[2,3,4,5,6,1,7]],[[4,7,6,3,2,5,1],[3,7,5,4,1,6,2],[2,3,4,5,6,1,7]],[[4,5,2,3,6,7,1],[5,7,3,4,1,2,6],[2,3,4,5,6,1,7]],[[3,1,6,2,7,5,4],[3,2,4,1,7,6,5],[2,3,4,5,6,1,7]],[[2,5,6,3,4,7,1],[3,7,1,4,5,2,6],[2,3,4,5,6,1,7]],[[2,3,6,7,4,5,1],[3,7,1,2,5,6,4],[2,3,4,5,6,1,7]],[[5,1,7,6,4,3,2],[4,2,7,6,5,1,3],[2,3,4,5,6,1,7]],[[4,1,7,6,3,5,2],[4,2,7,5,1,6,3],[2,3,4,5,6,1,7]],[[5,7,6,3,4,2,1],[3,7,6,4,5,1,2],[2,3,4,5,6,1,7]],[[5,1,2,7,6,4,3],[5,2,3,7,6,1,4],[2,3,4,5,6,1,7]],[[5,1,6,7,4,2,3],[3,2,6,7,5,1,4],[2,3,4,5,6,1,7]],[[3,7,6,2,4,5,1],[3,7,4,1,5,6,2],[2,3,4,5,6,1,7]],[[2,6,1,7,4,5,3],[2,3,1,7,5,6,4],[2,3,4,5,6,1,7]],[[5,1,7,3,6,4,2],[5,2,7,4,6,1,3],[2,3,4,5,6,1,7]]]|[[1,2,3,4,5,6,7]]
S|1|[8,8,1]|8T1|0|1|[[8],[8],[1,1,1,1,1,1,1,1]]|8T1-8_8_1.1.1.1.1.1.1.1|1|8|8T1-[8,8,1]-8-8-11111111-g0|1|8|8|[[[2,3,4,5,6,7,8,1],[8,1,2,3,4,5,6,7],[1,2,3,4,5,6,7,8]]]|[[2,3,4,5,6,7,8,1]]
H|1|[3,4,3]|8T12|0|1|[[3,3,1,1],[4,4],[3,3,1,1]]|8T12-3.3.1.1_4.4_3.3.1.1|1|8|8T12-[3,4,3]-3311-44-3311-g0|3|3|4|[[[8,2,1,7,4,6,5,3],[3,4,5,6,7,8,1,2],[1,8,6,3,5,4,2,7]]]|[[5,6,7,8,1,2,3,4]]
H|1|[6,3,3]|8T12|0|1|[[6,2],[3,3,1,1],[3,3,1,1]]|8T12-6.2_3.3.1.1_3.3.1.1|1|8|8T12-[6,3,3]-62-3311-3311-g0|3|3|6|[[[6,8,7,5,2,4,3,1],[7,5,2,4,3,1,6,8],[8,2,1,7,4,6,5,3]]]|[[5,6,7,8,1,2,3,4]]
E|1|[6,3,2]|8T13|0|1|[[6,2],[3,3,1,1],[2,2,2,2]]|8T13-6.2_3.3.1.1_2.2.2.2|1|8|8T13-[6,3,2]-62-3311-2222-g0|2|3|6|[[[5,7,4,3,8,2,1,6],[3,2,8,7,5,4,6,1],[4,7,6,1,8,3,2,5]]]|[[6,5,4,3,2,1,8,7]]
S|1|[4,3,2]|8T14|0|1|[[4,4],[3,3,1,1],[2,2,2,2]]|8T14-4.4_3.3.1.1_2.2.2.2|1|8|8T14-[4,3,2]-44-3311-2222-g0|2|3|4|[[[4,5,6,3,8,1,2,7],[1,3,8,6,5,7,4,2],[4,6,7,1,8,2,3,5]]]|[[5,6,7,8,1,2,3,4]]
H|1|[8,8,2]|8T16|1|1|[[8],[8],[2,2,1,1,1,1]]|8T16-8_8_2.2.1.1.1.1|1|8|8T16-[8,8,2]-8-8-221111-g1|2|8|8|[[[2,3,4,5,6,7,8,1],[4,5,2,3,8,1,6,7],[5,6,3,4,1,2,7,8]]]|[[5,6,7,8,1,2,3,4]]
H|1|[8,2,4]|8T17|0|1|[[8],[2,2,2,2],[4,1,1,1,1]]|8T17-8_2.2.2.2_4.1.1.1.1|1|8|8T17-[8,2,4]-8-2222-41111-g0|2|4|8|[[[5,6,7,3,8,1,2,4],[5,6,7,8,1,2,3,4],[2,3,8,4,5,6,7,1]]]|[[8,1,2,7,4,5,6,3]]
H|1|[8,2,4]|8T17|1|1|[[8],[2,2,2,2],[4,2,2]]|8T17-8_2.2.2.2_4.2.2|1|8|8T17-[8,2,4]-8-2222-422-g1|2|4|8|[[[6,7,4,8,1,2,3,5],[7,4,5,2,3,8,1,6],[3,8,1,5,6,7,4,2]]]|[[3,8,1,6,7,4,5,2],[8,1,2,7,4,5,6,3]]
H|1|[8,4,4]|8T17|1|1|[[8],[4,4],[4,1,1,1,1]]|8T17-8_4.4_4.1.1.1.1|1|8|8T17-[8,4,4]-8-44-41111-g1|4|4|8|[[[6,7,4,8,1,2,3,5],[4,5,6,3,8,1,2,7],[2,3,8,4,5,6,7,1]]]|[[3,8,1,6,7,4,5,2],[8,1,2,7,4,5,6,3]]
E|1|[4,4,2]|8T2|1|1|[[4,4],[4,4],[2,2,2,2]]|8T2-4.4_4.4_2.2.2.2|1|8|8T2-[4,4,2]-44-44-2222-g1|2|4|4|[[[2,3,8,5,6,7,4,1],[4,5,6,3,8,1,2,7],[5,6,7,8,1,2,3,4]]]|[[7,4,5,2,3,8,1,6],[8,1,2,7,4,5,6,3]]
H|2|[8,2,3]|8T23|0|2|[[8],[2,2,2,1,1],[3,3,1,1]]|8T23-8_2.2.2.1.1_3.3.1.1|1|8|8T23-[8,2,3]-8-22211-3311-g0|2|3|8|[[[4,3,1,6,8,7,5,2],[5,8,3,6,1,4,7,2],[3,2,8,5,7,6,4,1]],[[8,7,5,2,4,3,1,6],[1,4,7,2,5,8,3,6],[3,2,8,5,7,6,4,1]]]|[[5,6,7,8,1,2,3,4]]
H|2|[8,2,6]|8T23|1|2|[[8],[2,2,2,1,1],[6,2]]|8T23-8_2.2.2.1.1_6.2|1|8|8T23-[8,2,6]-8-22211-62-g1|2|6|8|[[[6,7,8,1,2,3,4,5],[8,6,3,5,4,2,7,1],[5,4,2,7,1,8,6,3]],[[2,3,4,5,6,7,8,1],[4,2,7,1,8,6,3,5],[5,4,2,7,1,8,6,3]]]|[[5,6,7,8,1,2,3,4]]
H|1|[6,2,4]|8T24|0|1|[[6,2],[2,2,1,1,1,1],[4,4]]|8T24-6.2_2.2.1.1.1.1_4.4|1|8|8T24-[6,2,4]-62-221111-44-g0|2|4|6|[[[5,7,4,3,8,2,1,6],[3,2,1,6,5,4,7,8],[7,4,6,1,3,8,2,5]]]|[[6,5,4,3,2,1,8,7]]
H|2|[7,7,2]|8T25|1|2|[[7,1],[7,1],[2,2,2,2]]|8T25-7.1_7.1_2.2.2.2|1|8|8T25-[7,7,2]-71-71-2222-g1|2|7|7|[[[3,4,7,1,2,5,6,8],[8,1,5,6,2,3,7,4],[8,3,2,5,4,7,6,1]],[[2,6,4,5,7,3,1,8],[8,6,1,4,3,5,2,7],[8,3,2,5,4,7,6,1]]]|[[1,2,3,4,5,6,7,8]]
H|1|[8,2,4]|8T27|0|1|[[8],[2,1,1,1,1,1,1],[4,4]]|8T27-8_2.1.1.1.1.1.1_4.4|1|8|8T27-[8,2,4]-8-2111111-44-g0|2|4|8|[[[4,1,2,7,8,5,6,3],[5,2,3,4,1,6,7,8],[2,3,8,5,6,7,4,1]]]|[[5,6,7,8,1,2,3,4]]
H|1|[8,4,2]|8T27|1|1|[[8],[4,4],[2,2,2,1,1]]|8T27-8_4.4_2.2.2.1.1|1|8|8T27-[8,4,2]-8-44-22211-g1|2|4|8|[[[4,1,2,7,8,5,6,3],[6,7,4,1,2,3,8,5],[5,6,7,4,1,2,3,8]]]|[[5,6,7,8,1,2,3,4]]
H|1|[8,4,2]|8T28|0|1|[[8],[4,2,2],[2,2,1,1,1,1]]|8T28-8_4.2.2_2.2.1.1.1.1|1|8|8T28-[8,4,2]-8-422-221111-g0|2|4|8|[[[2,3,4,5,6,7,8,1],[2,1,8,3,6,5,4,7],[3,2,1,4,7,6,5,8]]]|[[5,6,7,8,1,2,3,4]]
H|1|[8,4,2]|8T28|1|1|[[8],[4,2,2],[2,2,2,2]]|8T28-8_4.2.2_2.2.2.2|1|8|8T28-[8,4,2]-8-422-2222-g1|2|4|8|[[[2,3,4,5,6,7,8,1],[4,3,6,1,8,7,2,5],[5,4,7,2,1,8,3,6]]]|[[5,6,7,8,1,2,3,4]]
H|2|[8,4,4]|8T28|1|2|[[8],[4,2,2],[4,2,1,1]]|8T28-8_4.2.2_4.2.1.1|1|8|8T28-[8,4,4]-8-422-4211-g1|4|4|8|[[[2,3,4,5,6,7,8,1],[2,5,4,3,6,1,8,7],[7,6,1,4,3,2,5,8]],[[6,3,8,5,2,7,4,1],[2,1,4,7,6,5,8,3],[7,6,1,4,3,2,5,8]]]|[[5,6,7,8,1,2,3,4]]
H|1|[4,4,4]|8T30|0|1|[[4,1,1,1,1],[4,2,2],[4,4]]|8T30-4.1.1.1.1_4.2.2_4.4|1|8|8T30-[4,4,4]-41111-422-44-g0|4|4|4|[[[3,2,5,4,7,6,1,8],[2,1,8,3,6,5,4,7],[8,1,2,7,4,5,6,3]]]|[[5,6,7,8,1,2,3,4]]
H|2|[6,3,4]|8T33|1|2|[[6,2],[3,3,1,1],[4,4]]|8T33-6.2_3.3.1.1_4.4|1|8|8T33-[6,3,4]-62-3311-44-g1|3|4|6|[[[5,7,4,3,8,2,1,6],[1,8,2,7,5,4,6,3],[4,7,6,8,1,2,3,5]],[[4,6,5,8,3,1,2,7],[8,1,3,4,6,7,5,2],[5,6,7,2,3,8,1,4]]]|[[1,2,3,4,5,6,7,8]]
H|1|[6,6,2]|8T33|0|1|[[6,2],[6,2],[2,2,1,1,1,1]]|8T33-6.2_6.2_2.2.1.1.1.1|1|8|8T33-[6,6,2]-62-62-221111-g0|2|6|6|[[[5,7,4,3,8,2,1,6],[7,6,4,1,3,2,8,5],[1,2,3,5,4,7,6,8]]]|[[1,2,3,4,5,6,7,8]]
H|1|[6,6,2]|8T33|1|1|[[6,2],[6,2],[2,2,2,2]]|8T33-6.2_6.2_2.2.2.2|1|8|8T33-[6,6,2]-62-62-2222-g1|2|6|6|[[[5,7,4,3,8,2,1,6],[6,7,5,8,2,3,1,4],[2,1,8,6,7,4,5,3]]]|[[1,2,3,4,5,6,7,8]]
H|2|[6,6,3]|8T33|1|1|[[6,2],[6,2],[3,3,1,1]]|8T33-6.2_6.2_3.3.1.1|2|8|8T33-[6,6,3]-62-62-3311-g1|3|6|6|[[[4,5,7,2,8,1,3,6],[7,6,4,2,8,1,3,5],[2,3,1,6,4,5,7,8]],[[6,7,5,1,3,2,8,4],[5,4,6,3,1,8,2,7],[2,3,1,6,4,5,7,8]]]|[[1,2,3,4,5,6,7,8]]
H|4|[6,3,3]|8T36|0|4|[[6,2],[3,3,1,1],[3,3,1,1]]|8T36-6.2_3.3.1.1_3.3.1.1|1|8|8T36-[6,3,3]-62-3311-3311-g0|3|3|6|[[[4,6,5,2,1,3,8,7],[1,4,5,6,7,2,3,8],[3,2,4,1,7,6,8,5]],[[8,6,2,3,7,1,5,4],[1,4,5,6,7,2,3,8],[4,7,2,8,5,6,3,1]],[[5,4,6,1,3,2,8,7],[4,2,1,3,8,6,5,7],[1,6,7,2,3,4,5,8]],[[6,3,4,8,7,2,5,1],[8,3,7,1,5,6,2,4],[1,6,7,2,3,4,5,8]]]|[[1,2,3,4,5,6,7,8]]
H|4|[6,6,3]|8T36|1|4|[[6,2],[6,2],[3,3,1,1]]|8T36-6.2_6.2_3.3.1.1|1|8|8T36-[6,6,3]-62-62-3311-g1|3|6|6|[[[5,4,6,1,3,2,8,7],[2,1,5,3,7,4,8,6],[6,8,3,1,2,4,7,5]],[[5,4,6,1,3,2,8,7],[8,4,1,2,7,3,6,5],[2,7,8,4,3,6,1,5]],[[4,6,5,2,1,3,8,7],[2,1,4,6,3,8,5,7],[7,3,4,2,5,1,6,8]],[[4,6,5,2,1,3,8,7],[3,4,6,2,8,7,5,1],[7,2,3,8,1,4,5,6]]]|[[1,2,3,4,5,6,7,8]]
H|4|[7,3,3]|8T36|0|4|[[7,1],[3,3,1,1],[3,3,1,1]]|8T36-7.1_3.3.1.1_3.3.1.1|1|8|8T36-[7,3,3]-71-3311-3311-g0|3|3|7|[[[6,8,7,2,5,3,4,1],[8,1,3,4,6,7,5,2],[1,4,5,6,7,2,3,8]],[[3,7,5,4,6,2,8,1],[8,4,3,5,2,6,1,7],[1,6,7,2,3,4,5,8]],[[5,1,3,2,8,4,6,7],[2,7,8,4,3,6,1,5],[1,4,5,6,7,2,3,8]],[[8,6,1,4,3,5,2,7],[1,4,5,6,7,2,3,8],[7,5,3,2,4,6,8,1]]]|[[1,2,3,4,5,6,7,8]]
H|8|[7,6,3]|8T36|1|8|[[7,1],[6,2],[3,3,1,1]]|8T36-7.1_6.2_3.3.1.1|1|8|8T36-[7,6,3]-71-62-3311-g1|3|6|7|[[[7,8,3,5,6,1,2,4],[6,5,1,7,3,8,4,2],[1,4,5,6,7,2,3,8]],[[6,1,2,4,7,8,3,5],[2,1,5,3,7,4,8,6],[1,4,5,6,7,2,3,8]],[[2,7,1,3,5,8,6,4],[3,8,5,7,2,1,4,6],[1,6,7,2,3,4,5,8]],[[5,1,3,2,8,4,6,7],[2,6,1,7,8,4,3,5],[1,6,7,2,3,4,5,8]],[[2,7,1,3,5,8,6,4],[3,7,2,1,4,8,5,6],[1,4,5,6,7,2,3,8]],[[3,7,5,4,6,2,8,1],[8,5,2,6,1,4,3,7],[1,4,5,6,7,2,3,8]],[[7,1,6,3,4,2,5,8],[8,5,4,7,6,3,2,1],[7,5,3,2,4,6,8,1]],[[8,6,1,4,3,5,2,7],[8,5,4,7,6,3,2,1],[6,4,2,3,5,7,1,8]]]|[[1,2,3,4,5,6,7,8]]
H|2|[4,3,3]|8T37|0|4|[[4,4],[3,3,1,1],[3,3,1,1]]|8T37-4.4_3.3.1.1_3.3.1.1|1|8|8T37-[4,3,3]-44-3311-3311-g0|3|3|4|[[[2,4,8,5,1,3,6,7],[1,2,7,5,6,4,8,3],[4,1,5,2,6,3,7,8]],[[5,3,6,1,7,8,4,2],[7,3,4,2,1,6,5,8],[3,8,4,1,5,2,7,6]],[[2,8,1,7,4,5,6,3],[1,5,7,3,8,6,4,2],[4,1,5,2,6,3,7,8]],[[7,4,1,8,3,2,5,6],[6,2,8,3,5,7,1,4],[4,1,5,2,6,3,7,8]]]|[[1,2,3,4,5,6,7,8]]
H|1|[4,4,3]|8T37|1|2|[[4,4],[4,4],[3,3,1,1]]|8T37-4.4_4.4_3.3.1.1|1|8|8T37-[4,4,3]-44-44-3311-g1|3|4|4|[[[4,6,7,5,8,3,2,1],[7,1,2,8,6,4,3,5],[4,1,5,2,6,3,7,8]],[[5,7,4,6,2,8,1,3],[8,1,6,5,3,4,2,7],[8,4,1,5,2,6,7,3]]]|[[1,2,3,4,5,6,7,8]]
H|1|[7,2,3]|8T37|0|1|[[7,1],[2,2,2,2],[3,3,1,1]]|8T37-7.1_2.2.2.2_3.3.1.1|1|8|8T37-[7,2,3]-71-2222-3311-g0|2|3|7|[[[5,1,8,4,7,2,3,6],[6,4,8,2,7,1,5,3],[4,1,5,2,6,3,7,8]]]|[[1,2,3,4,5,6,7,8]]
